"talkid";"title";"type";"description";"skill";"from";"to";"room";"fromIso";"toIso"
"6beb1b37681d60b06a6cfd920677abc6";"FD.io (Fast Dataplane) Mini-Summit (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50Cloud Native provides application deployment speed and flexibility. Why burden it with cumbersome, sluggish networking?Let FD.io deliver the data IO speed required for flexible and scalable cloud native networking and storage.Hear FD.io community experts share project, use case, and capability insightsSee how FD.io enables cloud native network functions, cross-community integration with Kubernetes and Envoy communitiesGain clarity on why enterprise developers need FD.ioHear how FD.io can drive high-performance communication to scale-out and scale-up cloud-native micro-services deployments, the latest developments in Network Service Mesh and management and control agents for CNFs, including Cotiv-VPP and Ligato.View the Schedule Here!How to register: Pre-registration is required. To register for FD.io (Fast Dataplane) Mini-Summit, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to lfn-info@linuxfoundation.org.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.0 C2";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"fad0e0b23e12a067e3a60ea6d55c4b9c";"Kubernetes Contributor Summit (Additional Registration Required)";"Pre-Conference Co-Located Events";"The yearly Kubernetes Contributor Summits bring together new and current Kubernetes contributors alike to connect and share face-to-face. With each event having different goals, the Barcelona event is shaping up to focus on strengthening our contributor base in other regions outside of the U.S. and adding in some activities for our current contributors to get hallway conversations in with their distributed peers.Visit the Kubernetes Contributor Summit website for additional information and to register.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"CC4+CC5";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"d5ca2fe421eb3adee873f7c9c6ea1cd9";"Kubernetes Operator Framework Workshop hosted by Red Hat (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: Sold Out, Waitlist Available.This is an entry-level workshop for both application developers and system administrators interested in building and managing Operators for Kubernetes environments. It is designed for those who have a basic knowledge of Kubernetes and want to learn how to apply domain or application-specific knowledge to automate common operational tasks.From 9:00 am to 3:00 pm, we will be introducing Kubernetes operators and attendees gain an understanding the past difficulties with building Operators with existing client-libraries and discover how the Operator Framework can ease development workflow. Attendees will also receive step-by-step guidance on the process of creating real-world Operators with Go, Ansible, and Helm charts while mastering methodologies, design patterns, and strategies that can assist in avoiding common pitfalls.Starting at 3:00 pm, we’ll open up the room to anyone who wants to learn how to discover and add your Operator to OperatorHub.io and utilize the Operator Lifecycle Manager (OLM) to control installation, upgrade, and role-based access control. Drop-ins welcome for the afternoon portion of the workshop especially if you have a operator that you’d like to get listed in OperatorHub.io.All Operator Framework components are part of GitHub organization called “Operator Framework” located here: https://github.com/operator-framework under Apache License 2.0How to register: Pre-registration is required. To register for Kubernetes Operator Framework Workshop, Sold Out, Waitlist Available, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Alexa, ahollis@redhat.com.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.0 D2";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"12876318463a3839f8767db036dbf859";"Serverless Practitioners Summit hosted by CNCF (Additional Registration + Fee Required)";"Pre-Conference Co-Located EventsWildcard";"Registration Fees: $100The goal is to unite the serverless community and present end users with comprehensive strategies to understand serverless in a cloud native context. To do that, we plan to create a half day single-track serverless conference that follows our initial successful work in the CNCF serverless working group and surrounding projects. The second half of the day will be dedicated to breakouts based on specific serverless projects or broad topics.How to register: Pre-registration is required. To register for Serverless Practitioners Summit, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to events@cncf.io.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.0 D4";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"78b16f2727178aad964a78d80cc459f6";"Your Path to Production Ready Kubernetes hosted by Weaveworks (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $200Using a combination of instructor-led demonstrations and hands-on exercises, the workshop will enable the attendee to go into detail on the following topics:Developing and operating your Kubernetes microservices at scaleDevOps best practices and the movement towards a “GitOps” approachBuilding with Kubernetes in production: caring for your apps, implementing CI/CD best practices, and utilizing the right metrics, monitoring tools, and automated alertsOperating Kubernetes in production: Upgrading and managing Kubernetes, managing incident response, and adhering to security best practices for KubernetesPrerequisites:Basic knowledge of Kubernetes is required. At a minimum practical experience experimenting with Kubernetes is requiredYou have deployed a few applications to a test cluster, and now want a path forward of how to use Kubernetes in productionFamiliarity with the Unix command lineA complete cloud lab environment will be provided, so bring laptop with a modern browserThis workshop doesn’t cover:Deep knowledge of the Prometheus Query Language. We’ll be working through practical examples, but won’t cover the rest of PromQLKubernetes Introduction and concepts. We won’t be going through an overview of Kubernetes, instead we focus on application in the real world.Light breakfast, Lunch and refreshments will be provided.Please note you must be registered to attend KubeCon + CloudNativeCon Europe 2019 in Barcelona in order to attend this workshop.How to register: Pre-registration is required. To register for Your Path to Production Ready Kubernetes, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Sonja@weave.works.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Fira Congress Hotel";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"395fc0618f71fad7a5d20c12600ceb3e";"KubeSec Enterprise Summit hosted by Aqua Security (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: Early Bird Rate of $149 until April 1; After April 1, the standard rate of $179 applies.Co-Hosts: AWS, Google, Microsoft, Red HatKubeSec Enterprise Summit is a full-day event that focuses on the challenges faced by larger organizations with demanding security and compliance requirements when deploying Kubernetes in production. Whether you are just now beginning to roll out your first production implementation of Kubernetes, or are an early adopter looking to learn from the experience of your peers, you are sure to get valuable insights from this educational event.For more information on the event, please visit our website.How to register: Pre-registration is required. To register for KubeSec Enterprise Summit, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Tara.sullivan@aquasec.com.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:30";"Renaissance Hotel";"2019-05-20T09:00:00";"2019-05-20T17:30:00"
"a89e1fac2d3aa813821f311a3dcdbbf9";"CNCF End User Partner Summit (Pre-registration and approval is required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $100 (which is donated to the diversity scholarship)The CNCF End User Partner Summit brings together cloud native users to share best practices and lessons learned. The day will start with stories from end users, and their journey to overcome the challenges of adopting cloud native across different industries. It will continue with an unconference, where attendees can meet peers and learn how to navigate and contribute to the cloud native community.Agenda10:30 Kick off from Cheryl Hung, CNCF11:00 Dave Zolotusky, Spotify11:30 Break12:00 Fernando Carnago, Adidas12:30 Jeff Brewer, TOC End User Representative13:00 Lunch14:00 Announcement of unconference topics14:15 Unconference session 115:00 Break15:15 Unconference session 216:15 Closing remarks from Cheryl Hung, CNCF16:30 EndTickets cost $100 which is donated to the diversity scholarship. Your organization must be a member of the CNCF End User Community (https://www.cncf.io/people/end-user-community/) to attend. End user members may purchase up to four tickets, and end user supporters may purchase up to two. Contact chung@linuxfoundation.org with any questions.How to register: Pre-registration and approval is required. To apply for this event, add it on during your KubeCon + CloudNativeCon Europe registration.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 10:30";"Monday May 20, 2019 16:30";"Hall 8.0 F1";"2019-05-20T10:30:00";"2019-05-20T16:30:00"
"5e3c111cccbec4a3a5324c30a268a75f";"Get the Cert: Build Your Next App With Kubernetes + Istio hosted by IBM (Additional Registration Required)";"Pre-Conference Co-Located Events";"Registration Fees: ComplimentaryDo you need to select the right technologies to build the next productivity app in your application backlog? Get your hands dirty with those technologies before you start your build. Learn how Kubernetes and Istio make it easy to bind your app to advanced services like Watson, Blockchain, and IoT. Our developers will walk you through the step-by-step in this Hands-on-Lab, and you’ll walk away with a certification badge.Kubernetes minimize outages and disruptions through self-healing, intelligent scheduling, horizontal scaling, and load balancing. Developers can easily roll out and roll back application versions, whether they’re collaborating in development and test environments or deploying to production. Even new application functionality is streamlined, when developers extend apps with cloud services.The Result: Spend more time coding and less time with the infrastructure.Lab Instructors:Daniel Berg, Distinguished Engineer, IBM Cloud Kubernetes Service Architect, IBMRam Vennam, Lead Technical Manager, IBM Cloud Kubernetes Service, IBMLin Sun, STSM & Master Inventor, Istio, IBM Agenda:12:00PM-1:00PM: Lunch1:00PM-4:00PM: Hands-on-LabHow to Register: Pre-registration is required. Register here. For questions regarding this event, please reach out to rmelanco@us.ibm.com.";;"Monday May 20, 2019 12:00";"Monday May 20, 2019 16:00";"The W Hotel";"2019-05-20T12:00:00";"2019-05-20T16:00:00"
"706923b46a9e1aa80093dbd9b31dded4";"A Linkerd in Production Workshop hosted by Buoyant (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: $499 (scholarships available)This is a hands-on workshop that teaches how to use Linkerd in production, covering both Kubernetes and non-Kubernetes environments. This workshop is presented by Buoyant, the primary sponsors of the Linkerd project, and includes training by Linkerd maintainers.How to register: Pre-registration is required. To register for A Linkerd in Production Workshop, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to events@buoyant.io.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 13:00";"Monday May 20, 2019 17:00";"Hall 8.0 E5";"2019-05-20T13:00:00";"2019-05-20T17:00:00"
"de33a6c77f4bbda783077964df6f2dfb";"Introduction to CRDs with Kubebuilder hosted by Google Cloud (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50Solly Ross (Google), Bob Killen and Jeffery Sica (community members)Extending Kubernetes with Controllers and Custom Resource Definitions (CRDs) is quickly becoming commonplace. Users are now developing their own extensions to automate their applications and infrastructure. This emerging practice has been enabled by the growing set of tools designed to make developing these custom APIs easy.Of these tools, Kubebuilder, a Kubernetes sub-project, has been adopted by the Kubernetes project and end-users alike. It serves as a framework for rapidly building and publishing Kubernetes APIs by providing simple abstractions and automation for the common components involved with a controller.Attendees will learn how to approach development using best practices and methodologies for building Kubernetes Controllers. In the second half, attendees will use Kubebuilder to build, test, and deploy their own custom extension.Prerequisites:+ Laptop+ Basic Golang ExperienceHow to register: Pre-registration is required. To register for Anthos/GKE Workshop, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to meetusatkubecon@google.com.";;"Monday May 20, 2019 13:00";"Monday May 20, 2019 17:00";"Hall 8.0 C1";"2019-05-20T13:00:00";"2019-05-20T17:00:00"
"960a1365e51f62bdcabcbc19cf08205e";"Harbor Community Reception hosted by CNCF and VMware (Additional Registration Required)";"Pre-Conference Co-Located Events";"Registration Fees: Sold out, waitlist available. Complimentary with pre-registration, space is limited.We invite the Harbor community to join us for an afternoon of networking with peers! Come exchange ideas, and share best practices in managing and securing container images and Helm charts. You'll also have the opportunity to provide feedback on the latest roadmap, which the maintainers of the project will share. Developers will learn how to contribute to Harbor, and end users of Harbor will share their use cases. This will be a casual event, so come and enjoy an afternoon with the Harbor community!How to register: Pre-registration is required. To register for the Harbor Community Reception, add it on during your KubeCon + CloudNativeCon registration. Sold out, waitlist available.For questions regarding this event, please reach out to Harbor@vmware.com.";;"Monday May 20, 2019 14:30";"Monday May 20, 2019 17:00";"CC7.1";"2019-05-20T14:30:00";"2019-05-20T17:00:00"
"48efcfc2382ae91c65a509bcb1323a88";"Lightning Talk Hosts";"Lightning Talks";;"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 17:00";"Monday May 20, 2019 17:01";"Hall 8.0 A1";"2019-05-20T17:00:00";"2019-05-20T17:01:00"
"a26965d9720035da90365756d0e17246";"Lightning Talk: Back to the Future with eBPF";"Lightning TalksNetworking";"Is it possible that the future of networking and security in Microservices will be based on technology from the past?  Several open-source Kubernetes tools are already using eBPF. Mainly related to networking, monitoring, and security. This talk will guide you from the understanding of Linux kernel BPF concept, through the advantages and features that bring to microservices environments, to some known tools that currently make use of it, such Cilium, Weave or Istio.  If you have ever wonder how the routing and filtering of traffic at the application level is implemented, or you are just looking for an overview on the topic, this is your talk.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 17:00";"Monday May 20, 2019 17:05";"Hall 8.0 A1";"2019-05-20T17:00:00";"2019-05-20T17:05:00"
"60b42b610a13993bfde95431d4b2df63";"Lightning Talk: Beyond Operators: Reimagine Distributed Applications on Kubernetes";"Lightning TalksApplication & Development";"Kubernetes runs the distributed replicas of an application completely independent with no mechanism provided for coordination between replicas. To minimize race conditions, and other side effects of distributability, applications are often deployed with a replica count limited one or use primitives like StatefulSet to influence pod scheduling stickiness. Unfortunately, these are not enough to create truly distributed applications that can gracefully react to changes in their environment at runtime. While the controller and operator patterns have helped, they tend to use raw API primitives that are not related to building distributed systems.  This presentation is a discussion that presents the features needed to create truly distributed applications that can react to changes in a distributed environment and including features such as leader election, synchronization, and coordination.";"Intermediate (Mid-level experience)";"Monday May 20, 2019 17:06";"Monday May 20, 2019 17:11";"Hall 8.0 A1";"2019-05-20T17:06:00";"2019-05-20T17:11:00"
"7421810e408f0d8e9bb203a1889ef66a";"Lightning Talk: Fake it Until You Make it: Unit Tests with Go-Client Fake Client";"Lightning TalksCI/CD";"Creating an application which makes Kubernetes calls, but not sure how to begin testing? That’s when Kubernetes Client-Go Fake Client comes to save the day.  This presentation will show real world examples on how your Kubernetes application can be properly unit tested using Go-Client’s Fake Client. After viewing, you will be able to mockup the creation, reading, editing, and removal of a particular Kubernetes resource and get on a path to Increased Unit-Test Coverage!!";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 17:12";"Monday May 20, 2019 17:17";"Hall 8.0 A1";"2019-05-20T17:12:00";"2019-05-20T17:17:00"
"b9aa6fded8eac23badb08fe4b017af8a";"Lightning Talk: Kubernetes Jobs and the Sidecar Problem";"Lightning TalksApplication & Development";"The popular sidecar pattern has influenced the way organizations integrate their infrastructure with Kubernetes. However, it can often be a challenge adapting the sidecar pattern for workload patterns like batch jobs that do not fall into the domain of Deployments and the traditional microservice paradigm.  This talk will describe the current problems and limitations with running Kubernetes Jobs in infrastructure setups that involve sidecar containers. We'll briefly cover how Spotify's use case with Jobs and sidecars conflicts with these issues. But more importantly, we'll cover what the roots of these Job and sidecar issues are, explain a few of the most popular workarounds in the community, and highlight the currently open Kubernetes Enhancement Proposal that presents a potential solution via new Kubernetes features.";"Intermediate (Mid-level experience)";"Monday May 20, 2019 17:18";"Monday May 20, 2019 17:23";"Hall 8.0 A1";"2019-05-20T17:18:00";"2019-05-20T17:23:00"
"9c9a3814f089900a626f827d83d7527b";"Lightning Talk: Reliability Engineering for Humans";"Lightning TalksWildcard";"The concepts and practices of site reliability engineering are changing the way we build and operate our platforms and enabling us to have more meaningful conversations about availability, service-level objectives, and cost. But what are the benefits for the engineer holding the pager? Can we add a human element to our error budgets?  Join Hannah Foxwell to look at site reliability engineering practices through a human lens. Hannah combines SRE with HumanOps and explains how to use SRE practices to improve the health and well-being of your team.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 17:24";"Monday May 20, 2019 17:29";"Hall 8.0 A1";"2019-05-20T17:24:00";"2019-05-20T17:29:00"
"5128b32980b4b2b0373905101c9faf26";"Lightning Talk: Kubespray CI with KubeVirt on Baremetal";"Lightning TalksCI/CD";"Kubespray is one of the most used and contributed kubernetes installer. With thousands of contributions, in 2018 more than 15000 clusters have been deployed in the Cloud via the CI to ensure a certain level of stability. For performance and cost efficiency, the Kubespray infrastructure has been migrated to Baremetal machines.  This Lightning Talk will go through the challenges faced to migrate the CI from the Cloud to Baremetal, and how the project KubeVirt.io solved most of them building kubernetes-in-kubernetes clusters.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 17:30";"Monday May 20, 2019 17:35";"Hall 8.0 A1";"2019-05-20T17:30:00";"2019-05-20T17:35:00"
