talkid;name;role;bio
aa6a2ecade2621dadd9500f58b22b675;Joel Speed;Cloud Infrastructure Engineer, Pusher;Joel is a Cloud Infrastructure engineer who has been working with Kubernetes for the last year. He has been working in DevOps for over 3 years and is currently helping Pusher build their internal Kubernetes Platform. Recently he has been focusing on projects to improve autoscaling... Read More →
e07702cc9df3cad3594d9f49292bd580;Kaslin Fields;Cloud Advocate, Oracle;Kaslin Fields is a Cloud Advocate at Oracle Cloud Infrastructure, a Container and Cooking Enthusiast, and a Tech Comic-Blogger. By day, she uses her knowledge of containers and other cloud native technologies to help customers in their cloud native journeys by creating articles, tutorials... Read More →
43e6c8e96bf834ca8a51acd6e623307c;Renaud Gaubert;Software Engineer, NVIDIA;Renaud Gaubert has been working since 2017 at NVIDIA on making GPU applications easier to deploy and manage in data centers. He focuses on supporting GPU-accelerated machine learning frameworks in container orchestration systems such as Kubernetes and Docker swarm. |   |  He is an... Read More →
f202ffd8110e4626ba3cdea3ab6ddf99;Matthias Bertschy;Lead DevOps Engineer, Swissquote Bank;Matthias Bertschy is a Lead DevOps Engineer at Swissquote Bank. Kubernetes community member, CKA and CKAD certified, he contributes regularly to test-infra and advocates for Kubernetes adoption in Switzerland participating in meetups and internal forums.
2628b7c3c57f2f2b14e74e5a0e8e10a6;Eduard Iacoboaia;Senior System Administrator, Booking.com;Eduard is a Senior Systems Administrator working for more than 5 years at Booking.com. During the first years he worked on several teams, some of them managing infrastructure for more than a hundred services. Since then, his team built and went through two iterations of Booking.com's... Read More →
11aca575cec827a8cc73e380eba5b966;Lewis Denham-Parry;Instructor / Co-Founder, learnk8s.io / CloudNativeWales;Lewis works as a consultant with learnk8s.io in the world of Containers and Kubernetes travelling the world helping people get started on their Cloud Native journey. |   |  He recently co-founded Cloud Native Wales, an initiative to help people learn Cloud Native technologies and... Read More →
8ba3a7f7b10948c52e4c4cb7fda4c551;Joab Jackson;Managing Editor, The New Stack;
8ba3a7f7b10948c52e4c4cb7fda4c551;Alex Williams;Founder & Editor-in-Chief, The New Stack;
8ba3a7f7b10948c52e4c4cb7fda4c551;Bob Quillin;VP Developer Relations, Oracle Cloud;As Vice President of Developer Relations for Oracle Cloud Infrastructure (OCI), Bob Quillin leads OCI developer relations, advocacy, engagement, and lighthouse adoption. Bob joined Oracle as part of the StackEngine acquisition by Oracle in December 2015, where he was co-founder and... Read More →
8ba3a7f7b10948c52e4c4cb7fda4c551;Jon Girven;Co-Founder & CTO, Sauce;Jon completed a PhD in Astronomy & Astrophysics at the University of Warwick in 2012 with a thesis about the future of the sun and the earth after the sun dies and becomes a white dwarf star. He developed algorithms in Python to search billions of entries across multiple databases... Read More →
8ba3a7f7b10948c52e4c4cb7fda4c551;Ant Kennedy;CTO, Gapsquare;Ant Kennedy is currently CTO at Gapsquare where he is currently focusing on growing the engineering team, establishing best practice in the processes being used, the future architecture and growing Gapsquare's AI/ML capabilities. Previously he has worked at JustEat, Adarga and Boeing... Read More →
8ba3a7f7b10948c52e4c4cb7fda4c551;Bola Rotibi;Founder & Research Director, Creative Intellect Consulting;Bola Rotibi has over 25 years of industry experience spanning engineering, software development and IT analysis. She is a high-profile and highly experienced analyst focused on software development technologies, processes and market trends. In 2008 and 2009 Bola Rotibi was voted one... Read More →
3d40bdd5bd6e6c1fa4c5381af6fd89d9;Dan Kohn;Executive Director, Cloud Native Computing Foundation;Dan is Executive Director of the Cloud Native Computing Foundation, which sustains and integrates open source technologies like Kubernetes and Prometheus. He also helped create the Linux Foundation's Core Infrastructure Initiative as an industry-wide response to the security vulnerabilities demonstrated by Heartbleed.He previously served as CTO of several startups, including Spreemo, a healthcare marketplace, and Shopbeam, a shoppable ads company. Earlier, he was a general partner at Skymoon Ventures, a seed-stage... Read More →
b5df02b7c510a18245e970ef1a185bdd;Cheryl Hung;Director of Ecosystem, CNCF;Cheryl Hung is the Director of Ecosystem at the CNCF. Her mission is to increase the adoption of Kubernetes and cloud native by growing the community and advocating for end users. She founded and runs the Cloud Native London meetup. |   |  Previously Cheryl spent five years as a C... Read More →
f189f8d8434a9fcdf35b626759c7a8cb;Bryan Liles;Senior Staff Engineer, VMware;
ba7f07aefe1767dc69347b14a6c3a95a;Oliver Gould;Buoyant, CTO;
05038ee9203ae7a6fcf66e671b5c97f2;Urvashi Mohnani;Software Engineer, Red Hat;
5efe0cc15a76b6abe2262ee95bb4fd6d;Ben Sigelman;CEO and Co-founder, LightStep;Ben Sigelman is the co-creator of the OpenTracing project (incubated by CNCF). An expert in distributed monitoring, he previously built Dapper, Google’s production distributed systems tracing infrastructure, and Monarch, Google’s fleet-wide time series collection, storage, analysis... Read More →
5efe0cc15a76b6abe2262ee95bb4fd6d;Morgan McClean;Product Manager, Google;Morgan has spent much of his career as an engineer and product manager on distributed systems and tools for developers. At Google, he is the product manager for tools that span distributed tracing, debugging, and profiling, including internal applications, Stackdriver, and OpenCensus... Read More →
d20dfcaf598d326594cf11edf29a88f1;Eduardo Silva;Principal Engineer, Arm / Treasure Data;Eduardo is a Principal Engineer at ARM / Treasure Data. He currently leads the efforts to make logging and data processing more friendly and scalable in Embedded and Containerized systems such as Kubernetes. Maintainer of Fluent Bit, a Fluentd open source sub-project.
d493f52ce09a526dc3c62482b756972e;Vijoy Pandey;VP/CTO Cloud, Cisco;Vijoy Pandey is Vice President and CTO of Cisco’s Cloud Platform and Solutions Group. He is responsible for driving Cisco's design and production of new cloud technologies and architectures, which enable customers to create, consume, and compete in a multicloud, automated world.  Vijoy... Read More →
36497824e88912ab945c3f345898ba0b;Lucas Käldström;CNCF Ambassador, Independent;Lucas is a cloud native enthusiast that just graduated from High School. Lucas is serving the Kubernetes community in various lead positions, e.g. as a co-lead for SIG Cluster Lifecycle shepherding kubeadm from inception to GA, porting Kubernetes to multiple platforms and by being... Read More →
36497824e88912ab945c3f345898ba0b;Nikhita Raghunath;Software Engineer, Loodse;Nikhita is a software engineer at Loodse and is a contributor to Kubernetes. She is also a CNCF Ambassador and the technical lead for SIG Contributor Experience.
4e07555cf1c4ec5d967051a63cc11db4;Bryan Liles;Senior Staff Engineer, VMware;
ea3495a2d076d3821b3ac39b235d7812;Akihiro Suda;Software Engineer, NTT;Akihiro Suda is a software engineer at NTT Corporation, a Japan-based telecommunication company. He has been a core maintainer of Moby (former Docker Engine) since November 2016. He has been also a maintainer of several opensource container software such as CNCF containerd and Moby... Read More →
9d7072e7afa029bd1f46b406bb9041cf;Sebastian Scheele;CEO, Loodse;Sebastian Scheele is the CEO and co-founder of Loodse. With Loodse, he wants to empower IT teams to focus on their core expertise: writing groundbreaking applications. Sebastian is passionate about the potential of container and cloud native technologies and has published several... Read More →
9d7072e7afa029bd1f46b406bb9041cf;Simon Pearce;System Architect, SysEleven;Kubernetes, Clouds, docker, Storage, CI/CD, Nginx, Elasticsearch, web hosting
3bfe91da65e47c0aad3ef8a8ec65e9dc;Andrew Martin;Co-founder, Control Plane;Andrew has a strong security engineering ethos gained architecting and deploying high-traffic web applications. Proficient in systems development, testing, and operations, he is comfortable profiling and securing every tier of a bare metal or cloud native application, and has battle-hardened... Read More →
0a7e1dc16047577f97bf92db11042f69;Dr. Jennifer Akullian;Founder/IO Psychologist, Growth Coaching Institute;Jennifer is an industrial-organizational psychologist that works to grow individuals and organizations in the tech community.  Founder and executive coach at the Growth Coaching Institute, Jennifer works to support professionals through one-to-one coaching, and provides organizational... Read More →
2ecee33368770134d2af9b11da4601a7;Adel Zaalouk;Senior Software Engineer, SAP;Adel is a Software Engineer @ SAP mainly working on the Gardener project. Before joining SAP, he jumped back and forth between research and industry with special focus on Software-Defined Networks and Storage in the cloud-native context. Currently, he is one of the Gardener project... Read More →
7b4349f4f71dcbdaadc580907566449a;Marcin Wielgus;Senior Software Engineer, Google;Marcin Wielgus is a Senior Software Engineer at Google. Marcin joined the internet search giant in 2010 and since then he has been working on various projects, ranging from Android applications to recommendation engines. He started contributing to Kuberentes more than 3 years ago... Read More →
1f5c2ef93c5e8de5c2de54f3b1362d1d;Lucina Stricko;Product Manager, Vulk Coop & CNCF;Lucina Stricko is a co-owner at Vulk Co-operative (vulk.coop) and Product Owner of the CNCF CI Status Dashboard (cncf.ci). Lucina uses her Certified Scrum Product Owner knowledge and empathy to combine features, priorities, and project plans to best serve the end user. When Lucina’s... Read More →
1f5c2ef93c5e8de5c2de54f3b1362d1d;Denver Williams;Project Co-Lead, cncf.ci, Vulk Coop & CNCF;If you look deep in the abyss of the datacenter, where glue, copper, and deployment scripts intersect, you’ll find Denver Williams.  DevOps to the core, Denver finds a way to squeeze custom builds of Kubernetes into all manner of environments that you didn’t think were possible... Read More →
4b7b12b41425846d08e8b49fb0ab7e99;Bryan Boreham;Director Software Engineering, Weaveworks;Bryan is Director of Engineering at Weaveworks, delivering deployment, observability and monitoring for containers and microservices.  |   |  Previously, Bryan has worked on many kinds of systems including financial trading, factory control and cake-shop. Outside of work he is a father... Read More →
4b7b12b41425846d08e8b49fb0ab7e99;Tom Wilkie;VP Product, Grafana Labs;Tom is VP Product at Grafana Labs, but really he is a software engineer. Tom is a maintainer on the Prometheus project and a maintainer and the original author of Cortex, both CNCF projects. |   |  Previously Tom founded Kausal, a company working on Prometheus, and worked at companies... Read More →
b52da02625300925c3d75bcdb0ae0032;Claire Laurence;Senior Technical Program Manager, Pivotal;Technical Program Manager working with Pivotal working with our Pivotal Container Service Team (PKS).
b52da02625300925c3d75bcdb0ae0032;Tim Pepper;Open Source Engineer, VMware;Tim is a software engineer with over 20 years open source development experience. He is currently a member of VMware’s Open Source Technology Center acting as an open source developer advocate and contributing to upstream projects such as Kubernetes, where most recently he’s served... Read More →
8d70f6d3436b05788322c5bb410f858d;Tasha Drew;Product Manager, VMWare;Tasha Drew is a product line manager at VMware, working on vSphere, and is the co-chair for the Kubernetes Mulitenancy working group. Previously, she was the product manager for Habitat.sh, an open source framework for building, running and deploying applications in a 12-factor, cloud-native... Read More →
8bca12cce74ece893341ada167f5ab48;Jonathan Berkhahn;Open Source Contributor, IBM;Jonathan Berkhahn is an open source contributor working on behalf of IBM. He co-chairs SIG Service Catalog and is a Member of the Open Service Broker API working group. He also manages his own open source project Blockhead, an OSB broker for provision blockchain nodes for use by cloud... Read More →
6daca46c9852693891fcd314c1f0b526;Bowei Du;Staff Software Engineer, Google;Bowei is a tech lead at Google working on GKE Networking. He is focused on Ingress, Services and Multi-cluster.  |  | Happy to chat about anything networking and Kubernetes related!
6daca46c9852693891fcd314c1f0b526;Rohit Ramkumar;Software Engineer, Google;Rohit is a software engineer at Google working on GKE Networking. Lately, he has been working on Ingress, Services and multi-cluster use cases. | Most recently, he spoke at Kubecon EU 2018 in Copenhagen on the topic of network troubleshooting.
7cbb708191abc3417a8cac24381d7662;Fabio Giannetti;Senior Consultant, MasterCard;Fabio is a Senior Consultant in Mastercard. He is responsible for directing the internal build of Kubernetes platform and onboarding of application teams. Prior to that Fabio was at Cisco where he held a Director of Engineering position on DevNet and Cisco Cloud. Fabio has given several... Read More →
7cbb708191abc3417a8cac24381d7662;Allison Richardet;Software Engineer, OCI;Allison Richardet is a Software Engineer for OCI and Asteris, LLC. She began her career with real-time embedded systems development. She decided she needed more RAM, so she moved to the cloud. She helps companies adopt cloud native practices and move to Kubernetes. Allison has spoken... Read More →
b999d2de21d10122bb4c67d03985a6f5;Cody Gibb;Software Engineer, Uber;Working on image distribution and container orchestration systems at Uber. |   |  Most recently worked on p2p docker registry Kraken, and Uber’s unified resource scheduler Peloton.
b999d2de21d10122bb4c67d03985a6f5;Yiran Wang;Software Engineer, Uber;Works on container and docker image related tools and services at Uber.  | TL of docker image builder Makisu, P2P docker registry Kraken, and Kubernetes migration.
2322814ecbe2d3cd24e1155dcef8317c;Yonggang Liu;Senior Software Engineer, Google;Dr. Oliver (Yonggang) Liu is a senior software engineer in Google. He is one of the early developers and core engineers of Istio. Oliver has 10 years of experience in research and development of distributed systems and service mesh. Oliver received his PhD degree from University of... Read More →
2322814ecbe2d3cd24e1155dcef8317c;Quanjie Lin;Software Engineer, Google;Quanjie is a software engineer from Google Istio team, she is currently working on the Istio workload identity provision system, end-user authentication etc. Before Istio, she worked in Google kubernetes team on the open service broker and service catalog.
50678871e3f29e7cc640c3cc7646062d;David Gageot;Developer Advocate, Google;David is a Developer Advocate at Google Cloud. | He's working on Containers Tools, especially on developer experience. He's a maintainer on Skaffold. | Previously, he helped open the R&D office of Docker in Paris to work on Docker for Mac and Docker for Windows.
76f1be4b6ea223914bb3e1f729ea6d4e;Ben Sigelman;CEO and Co-founder, LightStep;Ben Sigelman is the co-creator of the OpenTracing project (incubated by CNCF). An expert in distributed monitoring, he previously built Dapper, Google’s production distributed systems tracing infrastructure, and Monarch, Google’s fleet-wide time series collection, storage, analysis... Read More →
76f1be4b6ea223914bb3e1f729ea6d4e;Morgan McClean;Product Manager, Google;Morgan has spent much of his career as an engineer and product manager on distributed systems and tools for developers. At Google, he is the product manager for tools that span distributed tracing, debugging, and profiling, including internal applications, Stackdriver, and OpenCensus... Read More →
76f1be4b6ea223914bb3e1f729ea6d4e;Bogdan Drutu;Google;
8f4b889a5f64e44d60d610d8116e9e8d;David Zhu;Software Engineer, Google;David is a Software Engineer for Google Cloud. He has been working on the Kubernetes project for over a year. He is the owner and main contributor of the GCP Compute Persistent Disk CSI Driver, as well as an active contributor to the CSI Spec, Kubernetes CSI external components, and... Read More →
8f4b889a5f64e44d60d610d8116e9e8d;Jan Šafránek;Software Engineer, Red Hat;Jan is Principal Software Engineer at Red Hat working on storage aspects of Kubernetes. He started developing Kubernetes more than 4 years ago and is one of founding members of SIG-Storage. He’s the author of PersistentVolume controller, dynamic provisioning and StorageClass API... Read More →
31bc79860c7e28bab523c159ce0e6ad5;Ana Calin;Systems Engineer, Paybase;Ana is a Systems Engineer at Paybase, an emerging London FinTech. As a Systems Engineer Ana builds the infrastructure of Paybase’s service oriented platform, creates, updates and maintains monitoring and logging systems and incident response management systems. Previously Ana has... Read More →
31bc79860c7e28bab523c159ce0e6ad5;Luke Bond;Co-founder, ControlPlane;Luke Bond is a co-founder of ControlPlane, a Kubernetes security consultancy based in London. Luke has worked as a programmer for most of his career, and outside of tech he enjoys running and making beer.
3700904480d79a62c4056795979cae01;Sebastien Goasguen;Cofounder & CTO, TriggerMesh;"Sebastien Goasguen built his first compute cluster in the late 90's when they were still called Beowulf clusters, while working on his PhD; He has been working on making computing a utility since then. Since 2013 he has focused on containers and container orchestration, creating a... Read More →"
b3d2bca8a9934724a71def8e5862640c;Chris Crone;Engineering Manager, Docker;Chris Crone is the technical leader of the Application Definition team at Docker and is based in Paris. The team is responsible for creating tools to define and deploy applications. This includes Compose, Compose on Kubernetes, and Docker App. Prior to Docker he worked on distributed... Read More →
0423ba7da32b95b4aa8a10b1a712e730;Johannes Unterstein;Software Engineer, Neo4j;Johannes organizes the java user group in his home town Kassel, teaches java at the DHBW Stuttgart and works as software engineer at Neo4j. He spent the last few years building distributed and containerized systems with focus on orchestration frameworks. Currently he is working on... Read More →
c7a84b537a42e61ee6f7e81bd9298bdc;Gareth Rushgrove;Director of Product Management, Snyk;Gareth works remotely from Cambridge, UK, helping to build interesting tools for people to better manage infrastructure and applications. He has previously worked for the UK Government Digital Service focused on infrastructure, operations and information security, as well as at Puppet... Read More →
767d67e0dd22f8ac69bf63e5ac538cb1;Ahmet Alp Balkan;Developer Advocate, Google;Ahmet works at Google Cloud as a Developer Advocate, making developer experiences and journeys better for cloud-native products like GKE, Knative and Cloud Run. He is the author of kubectx (a popular pairing to the kubectl) and the creator of the Krew project (a plugin manager for... Read More →
767d67e0dd22f8ac69bf63e5ac538cb1;Maciej Szulik;Software Engineer, Red Hat;Maciej is a passionate developer with over 10 years of experience in many languages. He's working on OpenShift and Kubernetes for Red Hat. In his free time he enjoys hacking on bugs.python.org and CPython's IMAP library. He's a frequent speaker at various events and meet ups, including... Read More →
08bb2e24f470336626710f13903561c7;Craig Peters;Principal Program Manager, Microsoft;Craig is a Principal Program Manager on the Container Compute team at Azure focused on container infrastructure projects. Craig is active in many Kubernetes Special Interest Groups and contributing to Windows nodes in Kubernetes. He is a technology generalist interested in making... Read More →
08bb2e24f470336626710f13903561c7;Stephen Augustus;Sr. Cloud Native Architect, VMware;Stephen Augustus is an active leader in the Kubernetes community. He currently serves as the Product Management Chair for Kubernetes, and a Chair for both the Release and Azure SIGs. |   |  Stephen's job at VMware includes driving meaningful interactions between internal teams and... Read More →
6e851cb68d386ed1b5e1e66cab0a2701;Scott Nichols;Software Engineer 软件工程师, Google;Scott Nichols is a Googler focused on making it easy to create and understand portable event driven serverless workloads. This work is done through Knative Eventing and CloudEvents.  |  | Connect: https://github.com/n3wscott/ or @n3wscott
6e851cb68d386ed1b5e1e66cab0a2701;Klaus Deissner;Development Architect, SAP;Klaus is an architect at SAP focusing on serverless architecture and eventing. He has over 16 years of experience in architecting and engineering software and has spent a large portion of his career with technology topics such as building messaging infrastructures, developer tools... Read More →
e4b58d70c98e494f5310998020a006ab;Matt Fisher;Software Engineer, Microsoft;Software Engineer at Microsoft, working on container stuff at Azure. Canadian.
e4b58d70c98e494f5310998020a006ab;Michelle Noorali;Software Engineer, Microsoft;Michelle Noorali is a Sr. Software Engineer at Microsoft. She is a core maintainer on open source projects in the Kubernetes ecosystem including Helm and Draft. She has been involved in the Kubernetes community since 2015 and serves on the Kubernetes Steering Committee. She is passionate... Read More →
6fc1fe2b62d6ca1fabe80369bdb6c533;Frederic Branczyk;Software Engineer, Red Hat;Frederic is an engineer at Red Hat (previously CoreOS) contributing to Prometheus and Kubernetes to build state of the art modern infrastructure and monitoring tools. He discovered his interest in monitoring tools and distributed systems in his previous jobs, where he used machine... Read More →
bfb8f18da25276efe96c0176b38580f5;William Morgan;CEO, Buoyant;William Morgan is the cofounder and CEO of Buoyant, creators of Linkerd. Prior to Buoyant, he was an infrastructure engineer at Twitter, where he helped move Twitter from monolith to microservices. He was a software engineer at Powerset, Microsoft, and Adap.tv, and a research scientist... Read More →
898b0bb47ee569d174e66a6391bccc3d;Ed Warnicke;Distinguished Consulting Engineer, Cisco;Ed Warnicke is a Distinguished Consulting Engineer in the Chief Technology and Architecture Office (CTAO) office at Cisco Systems. He has been working for over a decade in many areas of networking and Open Source. He was the longest serving founding TSC member at OpenDaylight TSC... Read More →
898b0bb47ee569d174e66a6391bccc3d;Frederick F. Kautz IV;Head of Edge Infrastructure, Doc.ai;NSM Co-Creator, Doc.ai Head of Edge Infrastructure
f6b386ed1c2a917ea78c00b1d32660d0;Scott Emmons;Principal Engineer, Scytale;
f6b386ed1c2a917ea78c00b1d32660d0;Emiliano Berenbaum;CTO, Scytale;Before co-founding Scytale, Emiliano was a principal engineer at Splunk, where he helped lead the engineering effort to convert Splunk into an entirely SaaS offering and platform. Previously, he was Okta’s founding employee, where he worked on all aspects of the SaaS offering, culminating... Read More →
bc01dcaa15b2b7e6ef9270edaa228e8f;John Plevyak;Software Engineer, Google;
bc01dcaa15b2b7e6ef9270edaa228e8f;Dhi Aurrahman;Software Engineer, Tetrate;Dhi is a software engineer at Tetrate and an Envoy maintainer.
35830bda256ddc8fb18f437bde411741;Henning Jacobs;Head of Developer Productivity, Zalando SE;"Henning joined Zalando in the beginning of 2010 and accompanied the transformation of Zalando’s technology department through the eras of PHP/MySQL and Java/PostgreSQL to the new world of ""Radical Agility"". He helped building the STUPS cloud infrastructure to make innovation scale... Read More →"
0e64d55531346e6ec61ad7bc54fdbe5c;Josh Berkus;Community Lead at Red Hat, Red Hat;Josh Berkus is Red Hat's Kubernetes Community Manager, which is the reason he spends so much time working in SIG-Release and SIG-Contributor Experience. He's also a long-time database geek, and has done benchmarks for the TPC and SPEC. His real passion in the cloud native world is... Read More →
8240a0b1edf76c33818e80a7304f45a0;Pradipta Banerjee;Senior Technical Staff Member, IBM;Pradipta is a Senior Technical Staff Member in IBM Systems, where he leads cloud-native platform initiatives and works with customers to help them with their digital transformation journey. He comes with an extensive infrastructure and cloud background and has worked on many first... Read More →
8240a0b1edf76c33818e80a7304f45a0;Harshal Patil;Advisory Systems Software Engineer, IBM;Advisory Systems Software Engineer at IBM, Linux Technology Centre work on containers and technologies around it. Currently works on Encryption in Container Images, and previously on Isolated Container Runtime for Docker Images (https://ossna2017.sched.com/event/BDpW/isolated-container-runtime-for-docker-images-harshal-patil-ibm... Read More →
8b2a7890d8f0e433ea36915ee86f26ed;Diem Vu;Software Engineer, Google;Diem Vu is a software engineer at Google. He is currently working on Istio, leading the security policy area. Before joining Istio, he worked in Google shopping search for over 6 years. He earned his master degree from UCSD, and bachelor from Monash university.
8b2a7890d8f0e433ea36915ee86f26ed;Quanjie Lin;Software Engineer, Google;Quanjie is a software engineer from Google Istio team, she is currently working on the Istio workload identity provision system, end-user authentication etc. Before Istio, she worked in Google kubernetes team on the open service broker and service catalog.
a350f0ecda6c58da9ece1fe44bd0b412;Kevin Lingerfelt;Software Engineer, Buoyant;Kevin Lingerfelt is a software engineer at Buoyant and a core contributor to the Linkerd project, focusing mostly on the control plane, which is written in Go. Prior to working at Buoyant, Kevin was a senior staff software engineer at Twitter, working on infrastructure and decomposition... Read More →
5dd395d7c09464d130b98aafb305620b;Bob Killen;Research Cloud Administrator, University of Michigan;Bob is a Research Cloud Administrator with the Advanced Research Computing Technology Services (ARC-TS) group at the University of Michigan. He has been with the University for more than 15 years, serving in various capacities within the Health System and ARC-TS. As a CNCF Ambassador... Read More →
5dd395d7c09464d130b98aafb305620b;Lindsey Tulloch;Student, Brock University;Lindsey is a student at Brock University where she is finishing a BSc in Computer Science and researching potential academic uses for Kubernetes. She previously worked at Red Hat as a software engineering intern where she was part of the multi-cluster team and demoed the federation-v2... Read More →
ce66c6f25b7ac6e731639447b54337d4;Allison Richardet;Software Engineer, OCI;Allison Richardet is a Software Engineer for OCI and Asteris, LLC. She began her career with real-time embedded systems development. She decided she needed more RAM, so she moved to the cloud. She helps companies adopt cloud native practices and move to Kubernetes. Allison has spoken... Read More →
ce66c6f25b7ac6e731639447b54337d4;Ivan Pedrazas;Solutions Architect, State Street;Ivan has a background in development and architecture. He has been helping companies like the UK Home Office, Soho House, or currently at State Street to adopt Kubernetes and release better software, more often. He enjoys designing and building distributed systems. Ivan has been running... Read More →
ce66c6f25b7ac6e731639447b54337d4;Alexis Richardson;Founder & CEO, Weaveworks;Alexis is the CEO of Weaveworks and the chairman of the TOC for CNCF. Previously he was at Pivotal, as head of products for Spring, RabbitMQ, Redis, Apache Tomcat and vFabric. Alexis was responsible for resetting the product direction of Spring and transitioning the vFabric business... Read More →
ce66c6f25b7ac6e731639447b54337d4;Laura Tacho;Director of Engineering, CloudBees;As the Director of Engineering at CloudBees and a Docker Captain, Laura's primary focus is making tools for other developers. At CloudBees, she works on improving the Docker infrastructure of the Codeship product and overall experience for all users of the CI/CD platform. Previously... Read More →
ce66c6f25b7ac6e731639447b54337d4;Tracy Miranda;Director of Open Source Community, CloudBees;Tracy Miranda is director of open source community at CloudBees, where she works closely with the Jenkins & Jenkins X communities. A developer and open source veteran, Tracy is on the board of directors for the Eclipse Foundation.Tracy has a background in electronics system design... Read More →
77c44d7ac32efd41f0f70d300c82b41e;David Benque;Senior Software Engineer, Amadeus;Area of expertize: PaaS. Working on: application development, automation, system operability at scale, distributed systems. Languages: Go, C++ mainly. Like: sharing experience, learn and teach. My mission at Amadeus is to implement the transition from our legacy distributed system... Read More →
77c44d7ac32efd41f0f70d300c82b41e;Cédric Lamorinière;Principal Software Engineer, Datadog;Cedric Lamoriniere is an Open-source software engineer who worked on the migration of legacy applications to Kubernetes. He takes part in the development of several K8s operators (Redis-Operator, Kubervisor). Cedric is specialized in distributed systems development. He as the chance... Read More →
